label	text_a
1	选择珠江花园的原因就是方便，有电动扶梯直接到达海边，周围餐馆、食廊、商场、超市、摊位一应俱全。酒店装修一般，但还算整洁。 泳池在大堂的屋顶，因此很小，不过女儿倒是喜欢。 包的早餐是西式的，还算丰富。 服务吗，一般
1	15.4寸笔记本的键盘确实爽，基本跟台式机差不多了，蛮喜欢数字小键盘，输数字特方便，样子也很美观，做工也相当不错
0	房间太小。其他的都一般。。。。。。。。。
0	1.接电源没有几分钟,电源适配器热的不行. 2.摄像头用不起来. 3.机盖的钢琴漆，手不能摸，一摸一个印. 4.硬盘分区不好办.
1	今天才知道这书还有第6卷,真有点郁闷:为什么同一套书有两种版本呢?当当网是不是该跟出版社商量商量,单独出个第6卷,让我们的孩子不会有所遗憾。
0	机器背面似乎被撕了张什么标签，残胶还在。但是又看不出是什么标签不见了，该有的都在，怪
0	呵呵，虽然表皮看上去不错很精致，但是我还是能看得出来是盗的。但是里面的内容真的不错，我妈爱看，我自己也学着找一些穴位。
0	这本书实在是太烂了,以前听浙大的老师说这本书怎么怎么不对,哪些地方都是误导的还不相信,终于买了一本看一下,发现真是~~~无语,这种书都写得出来
1	地理位置佳，在市中心。酒店服务好、早餐品种丰富。我住的商务数码房电脑宽带速度满意,房间还算干净，离湖南路小吃街近。
1	5.1期间在这住的，位置还可以，在市委市政府附近，要去商业区和步行街得打车，屋里有蚊子，虽然空间挺大，晚上熄灯后把窗帘拉上简直是伸手不见五指，很适合睡觉，但是会被该死的蚊子吵醒！打死了两只，第二天早上还是发现又没打死的，卫生间挺大，但是设备很老旧。
0	我看过朋友的还可以，但是我订的书迟迟未到已有半个月，都没有收到打电话也没有用，以后你们订书一定要考虑好！当当实在是太慢了
1	还不错，设施稍微有点旧但是可以接收，但是606的价格还不含早餐有点高了。楼下的商场和超市很方便。下次来还会选择这家。
1	轻便，方便携带，性能也不错，能满足平时的工作需要，对出差人员来说非常不错
1	入住的是度假区的豪华海景房,前台给了5楼(最高6楼),然后差不多100%的海景,虽然是挂牌5星的,但是本人觉得是4星的标准,和我后来入住的5星喜来登差了蛮多的,不过整体来说还是符合他家的价钱的.
0	1.模具有摄像头的位置，但是没有摄像头。 2.做工一般。 3.说明书和驱动都是电子版。 4.没有预装XP系统。
0	送的内胆包有点不好，还有外接电源中间连接处无法全部插入。续航时间也没有标称的那么长，希望京东能注意宣传的真实性。
1	这是我第1次给全五星哦^_^超级快!这是最快收到书的一次了.我是中午的时候订的,结果第2天上午就收到了,算了一下,1天的时间都还没到呢!在此,感激下当当的服务...我的确是很急需这本书呢.关于书的本身,也很不错.内容还是很丰富的,值得推荐,对于训练和培养逻辑思维套式有一定的帮助,推荐一下~还有祝朋友们都面试成功,哈哈哈~
0	很好的地理位置，一蹋糊涂的服务，萧条的酒店。
1	漂亮（老婆认为的），性价比高。电池很棒，能用4～6个小时，兼容性还行，拿到手直接重装了WIN7，基本不需要任何驱动，除了快捷键。
0	内存太小，偶配了2根“金条”，目前兼容。但不知道是内存不兼容还是什么，有时会听到硬盘“咔咔”运行的声音。预置系统下Office是2007试用版，偶自装2003，则每次启动弹出正版增值计划窗口，很麻烦！
1	非常不错，服务很好，位于市中心区，交通方便，不过价格也高！
1	两岁的儿子特别喜欢车,尤其是火车，于是在朋友推荐下我买了一套。没想到孩子特别喜欢，尤其是第一本《轱辘轱辘转》，天天睡觉前都要把书抱到床上看。他会不停的问我“这是什么车？”，“这是什么车？”。现在已经把第一本书都翻烂了。走在路上，看到车时，他会非常兴奋的告诉我“妈妈，水泥搅拌车！”。书中各种各样的车，给了孩子很多想像的空间，而且这是我第一次在当当上买书就非常的成功，不错，下次还来。
0	书看到最后几页居然是?双眼皮?,所有的字都印成了两遍头，根本就不能看。书的质量实在太差.
0	有些东西不赞同，事后的捷径，不过如此，年青人该经历的还是要去体验，否则拥有后还会抛弃，因为那不是他自己选择过的，所以此书可是说有误导成分
0	我去官网下了最新的XP驱动，结果声卡装好了，有声音了，接着装显卡，装完显卡，电脑就没声音了，一共装了四次，第三次才发现显卡驱动和声卡驱动冲突， 然后在官网下了前一个显卡驱动，终于搞定了，没有冲突
1	是一个朋友送给我的，如今我又在把它推荐给其他朋友。是它为我打开了一扇门，通向图画书的宫殿的门。就连我这个所谓的教育工作者也要感叹自己的无知。感谢作者告诉了我们世界上有这么多的好的图画书。我给晓晓买的图画书都是这样按图索骥买来的，本本都让她爱不释手！当然了，现在还发现了它另外一个妙用：省钱。哈哈，试想，把那里面的书都买下来要多少钱啊？嘿嘿，我不做傻瓜。就这样讲故事，也不错。
0	跟住招待所没什么太大区别。 绝对不会再住第2次的酒店！
0	差得要命,很大股霉味,勉强住了一晚,第二天大早赶紧溜
0	1.上了半天网，都上不去，问酒店，答曰坏了。气愤！ 2.晚上入住适逢变天，天气变冷，开了半天空调，竟然还是冷风，问酒店，答曰晚上关空调。晕！床上只有一床单被，到处找被子，无。问酒店要，半小时催了三次电话才来。还是冷，要求在加一床被子，服务员去后再也没回，打到总台，又等了半天，回复没被子了。不把顾客当人啊。 3.一晚没睡成，凌晨5点多，被不知道哪里来的低沉的轰鸣声吵醒。在房间找了半天没查出哪里来得声音，叫来服务员，（半小时催了三四次才来，人都要疯掉）。六点多服务员才来，也解决不了。就这么一夜没睡。买气受来了。 4.到总台要求当班经理来解释，换了几个人来，说了几遍，酒店不断去落实事情真相，最后才来一个自称客服经理的，说却有其事，表示道歉，做了一小时的冷板凳，一口热水没喝，口都讲干了。这就是他们的诚意。 总结：硬件老旧，服务太差。
1	拿回家的那天，我女儿第一时间要我给她讲完6本故事！累死我了。因为有第一套“神奇校车”，小家伙都很喜欢。但是，我个人认为，这一套没有第一套好看，人物画得和第一套有点差别，有时候故事衔接不上，感觉不是正版或不是一个时间翻译出来的版本一样。总之没有第一套好看，对于5岁的孩子来说，内容有点深了，不够第一套吸引人。但是总体来说还是很好的，也许放到大一点再读是不是不一样呢？
0	没有比这更差的酒店了。房间灯光暗淡，空调无法调节，前台服务僵化。用早餐时，服务员居然叫我回房间把拖鞋换成皮鞋再下来，到底谁是上帝，这家酒店的老总应该马上辞职。建议大家不要住这家酒店，有被骗的感觉！
0	语言轻松幽默，阅读起来让人心情大好，内容实用，但是不喜欢把博客回复内容以及跟读者互动的话题全部照搬上来。感觉比较杂乱。
1	acer的品质、服务都很不错，而且本品很超值。样子也算漂亮，基本性能只要不玩大游戏全能应付。
0	不是电脑高手千万别买，没有windows系统，而且主板和bios有很多限制 导致不能顺利安装windows 我搞了一天 才勉强搞定，要不是曾经搞过一段时间计算机 还真搞不定这个机器。
0	我家宝宝快两岁了，这套书对于她来说太简单了，没有吸引力，我是看了大家的评论才买的，不太理想。
1	桐华的书貌似我都看过了，都好喜欢，而且都那么紧张，让人沉沦，每次看了都不想放下，这次也是，3本书几个晚上就看完了，都熬到12点多实在不行，早上要早起上班，只能睡觉。情节很吸引，云歌我不知道这样算不算一个好结局，但是在我看来这个结局还是挺完美的。虽然不是大团圆，至少很符合人的心理！对于刘弗陵和云歌的爱情，中间还让我哭几次，可怜的人（但无可恨）……喜欢~值得一看
1	我住的是特色标间，所谓特色，是有些类似家的感觉。寝具不是单调的白色，是条纹和大格子的，感觉很温馨。圈儿椅的靠垫是卡通的加菲猫头，明黄的颜色有点扎眼，和周围配在一起感觉有点不协调。 客房硬件评价3.5分。加湿器、烫衣板、电熨斗、吹风机、小冰箱等俱全。缺点：液晶电视固定在墙上，位置不好。一是遮挡了一个电源插座；二是与桌子搭配不当。桌子（与冰箱柜一体）在电视下方，如果坐在桌子旁上网或工作学习，正好挡住了电视屏幕。错开坐，正好是冰箱柜，腿脚伸不开。
1	我是法语初学者,学了78个课时的初级班.因为我是老年人,法语又难,我只有再从头自学巩固一遍,然后准备报中级班.我们学的教材是孙辉老师的.买本练习答案对自学和检查做习题的正确性是非常必要的.而且孙辉老师的教材在网上还有视频,对我们学习法语有很大的帮助.孙辉老师的教材编写得很好,我向学法语的朋友推荐.我想学好了上下册,再结合(走遍法国)的阅读和学习,会达到我们预期的愿望.这仅只是个人看法,
1	房间较小,但挺干凈,另外空调噪声较大,晚上睡觉还是有点吵. 早餐是自助餐,挺丰富! 总体感觉不错!
0	价格还可以再往下一点(港行这个价钱可是双电+内包+xp),3芯电池有点小,1g内存有点小,最重要的是分辨率是1024*576,这个有点烦
1	这家YMCA非常好，还主动帮我们升级房间，住起又棒又舒适，地点也很方便，服务又好，号称香港物美价优第一流的YMCA，值得大家推荐。
1	LED屏就是爽，基本硬件配置都很均衡，镜面考漆不错，小黑，我喜欢。
0	一翻开这本书，就让人想起韩剧里头那些不温不火絮絮叨叨的韩国女人，可能这就是文化差异吧
0	破酒店上网慢的一踏糊涂。网卡只有10M的连接速度。什么年代了。还用这么慢的交换机。会还有早餐难吃的要死。没什么东西吃的。连煎个鸡蛋都等不到。还是他们的领班在煎店。一边煎还一边在吃。水果就更没什么好吃的了。住了几次就没吃到什么水果。。
1	希望大家也能像我一样，每家酒店都能尝试的住一下，因为每个酒店都各有特色
0	本书其实没说什么，也看不出价值在哪，作者倒是牛，把西医批评的一无是处，感觉就是根本不懂科学
1	还不错，可以住一下，并且建议你住高一点层次的房间
1	时时都在阅读着这篇令人太伤感的小说，我是那样的爱狗狗，也一直希望自己能养一只狗狗，也是天天观察着自己身边一些些可爱的狗，然而爸爸妈妈却因为家里的条件一直没有聊了我的心愿，当我看到了作者简介、文章简介，实在忍不住了，强烈要求父母给我买下它。狗狗这种伙伴，是给人开心、快乐和幸福的。而当我翻完此书的最后一页时，不禁有了非一般的伤感。同时，我敬佩作者与狗狗，并买下了金毛寻回犬……
1	我不是个偏激的人，所以我喜欢都各种各样的书。韩寒 和郭敬明的书我都回会去看，郭敬明写的东西比较的煽情，有时后觉得他写的东西让人很不能接受.......不过他的确是才华出众...可是韩寒写的东西却很有深度、内涵，他的书我会用心的去读很多边都不会觉得枯燥......《他的国》我正在看，觉得在文字上，他依然保持着他的风格....不过还是很喜欢。加油！我一定会一直喜欢你的作品的，所以韩寒你要加油写书咯！
0	本想卖给朋友作为英语入门的教材，没想到效果不佳，中英文夹杂着阅读确实不太习惯，还好是买了第一册。
0	卡梅拉是之勇敢的小鸡简单而执着我喜欢哦~同事的小宝宝也很喜欢~还有我将给我男朋友听的也很投入~
1	酒店环境很好，商务中心很热情．免费接送机服务很好．房间设施尚可，但浴室条件稍差，没有吹风机，热水也要早７：３０时以后才有．而且总说线路繁忙不能刷卡，房费要付现金，不太理解．
1	感觉非常奇怪,这套书我明明都写了两次评论了,可我的当当始终提醒我对这套书写评论!晕啊!这是套很好的书,也不用我写几次评论吧!
0	一本教女孩子怎么追求物质的书，值得大家伙这么追捧么？在这物欲横流的社会，有精神追求的人真是越来越少了~
1	买这个书实属意外，拿到书以后第一时间看完，意外地精彩。关于生活的琐碎，书里描写得是十分细微的。但并没有琐碎而使故事变得流俗，且作者笔调里的积极的那些东西十分地打动人。最喜欢邓佑真，一如她名字里的“真”字，她真是个十分讨喜的主角。画面感很好，大概是因为要电视剧化的缘故？总之，实在是太欢乐了，喝水吃东西时就不要看了……比较可惜的是，乔锐还是觉得着墨不够？小声说……
1	我订的是高级淑女房(双床),房间还算干净整洁，服务也还可以。早餐的种类有点少，但味道还行。办理退房的速度很快。总的来说，我和同事住得比较满意。
0	价格太高，性价比不够好。我觉得今后还是去其他酒店比较好。
0	非常容易看，一共也没几页，《庄子》的原文就占了53页，排版又稀疏，所以轻松搞定。给我的感觉是借着庄子的名声做文章，确实浅显。庄子讲了很多故事和寓言，这种原创性难能可贵，但于丹的这本书就没什么新意了。我没有听过她的讲座，也许加上体态语会生动引人，反正光看文字，可有比她强的作品。
1	今年去YZ的时候就选择在新世纪大酒店~ 4星,基本印象很不错~ 靠近瘦洗湖,个园,何园,只有十分钟左右的车程,附近有银行,报纸店,饭店,蛋糕店,茶餐厅,还有超市,应该说生活很便利~是旅游住宿的不错的选择 酒店装潢的还不错,我们去的时候免费升级到了23楼的房间.房间比较大,没有烟味和油烟味,感觉很好~ 每天都有房间清理,帮我们换上新的洗梳用品. 感觉很好~ 酒店备有插座转换器,自己过去就不用带了~ 有宽带,免费的哦:)~!~
1	当时买这个本儿就是冲着它漂亮+电池，性能啥的小本儿也没什么追求 不过升级了2G内存+重装了vista之后感觉还是不错的 而且比较皮实，去电脑城看了其他品牌的上网本后，尽管这个当时贵一些，还是入手了
1	大床房还不错，其他的没有看过。位置很好。希望菜做得更好吃
1	1699元能拥有本本和包非常满意，装XP也比想象中顺利。外观漂亮有大厂风范，键盘舒服。
1	速度挺快，前一天晚上订货，第二天中午就到了；送货人员态度特别好，石景山区的； 现在在用，顶多是一般，如果买的话推荐联想那款； 缺点：外壳太光滑，很很容易有划痕！键盘太难用，我上个是华硕的，没得比！
0	房间外声音太大，比较吵闹！直接到前台预定费用更合理。
1	看到评价及书的介绍，我自已很喜欢。我买了三本，因为书很厚，文字很多。我担心女儿不喜欢，因为她喜欢图画书。我先拿了一本回家，打算睡前给孩子讲，结果上一年级的女儿,自已看到书后，便一发不可收拾。根本不用我讲。一口气看完一本书后.才松了一口气.还问我还有没有买其他几本.为书中最后一头战象而叹息.为被象群踩断脊骨布哈依难过.现在每天睡前都让我再给她讲一遍。直到她睡着为止。
0	酒店太旧,不象4星,房间隔音太差,隔壁打了一晚麻将,太吵了
0	卫生条件比较差，真的很差！毛巾白里透着黑，马桶和地面已经分家，一碰就要倒。没有停车场，车放在马路边不是太安全
0	我共买了7本，大多书的纸质很差，很轻，像盗版，希望管理员能标明纸的质量，如果下次再发现这个问题退货。。
0	不知道是因为是翻译的书本还是其他原因感觉整本书老是围绕着相同的话题在重复
1	系统换XP后会更好用点。微软为什么一定要让生产商强制安装vista这种自以为很cool的大块头呢？如果能有包就更好了！
0	太玄了，反而不可信。给爸妈买了有一个月了，还是全新的，完全不敢兴趣。我看那么多人追捧，一直建议他们看，可自己看了几页，也扔到了一边，浮夸-----
